"State","Year","Month","Period","Indicator","Data Value","Percent Complete","Percent Pending Investigation","State Name","Footnote","Footnote Symbol","Predicted Value"
"OK","2016","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","212","100","0.021142208","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","212"
"OK","2016","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","229","100","0.021165701","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","229"
"OK","2016","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","241","100","0.021111522","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","241"
"OK","2016","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","238","100","0.02102773","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","238"
"OK","2016","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","251","100","0.015770798","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","251"
"OK","2016","November","12 month-ending","Psychostimulants with abuse potential (T43.6)","256","100","0.013144059","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","256"
"OK","2016","December","12 month-ending","Psychostimulants with abuse potential (T43.6)","267","100","0.013099293","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","267"
"OK","2017","January","12 month-ending","Psychostimulants with abuse potential (T43.6)","267","100","0.01303985","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","267"
"OK","2017","February","12 month-ending","Psychostimulants with abuse potential (T43.6)","276","100","0.012981281","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","276"
"OK","2017","March","12 month-ending","Psychostimulants with abuse potential (T43.6)","275","100","0.010358401","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","275"
"OK","2017","April","12 month-ending","Psychostimulants with abuse potential (T43.6)","283","100","0.007743534","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","283"
"OK","2017","May","12 month-ending","Psychostimulants with abuse potential (T43.6)","286","100","0.00517023","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","286"
"OK","2017","June","12 month-ending","Psychostimulants with abuse potential (T43.6)","294","100","0.005145621","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","294"
"OK","2017","July","12 month-ending","Psychostimulants with abuse potential (T43.6)","300","100","0.005128863","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","300"
"OK","2017","August","12 month-ending","Psychostimulants with abuse potential (T43.6)","293","100","0.005128205","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","293"
"OK","2017","September","12 month-ending","Psychostimulants with abuse potential (T43.6)","296","100","0.002559902","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","296"
"OK","2017","October","12 month-ending","Psychostimulants with abuse potential (T43.6)","290","100","0.005111037","Oklahoma","Numbers may differ from published reports using final data. See Technical Notes.","**","290"
